gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC182105.3_FG006,0,NA,NA,NA,NA,NA
AC182413.4_FG002,0,NA,NA,NA,NA,NA
AC182439.4_FG004,0.234371565,0.290879863,0.586399858,0.496043543,0.61986369,NA
AC182482.3_FG003,718.467184,-1.526491517,0.299916447,-5.089722596,3.59E-07,7.59E-06
AC182615.4_FG001,0.140608428,-0.004871223,0.533132874,-0.009136978,0.992709848,NA
AC182617.3_FG001,199.2561443,-0.427050985,0.308592557,-1.383866769,0.166399254,0.368366452
AC182627.2_FG003,0.175257969,-0.536477822,0.551608518,-0.972569864,0.330767127,NA
AC182831.3_FG004,0.782851106,0.320059549,0.763977598,0.418938396,0.675261155,NA
AC182838.3_FG006,6.943282967,-0.406259593,0.953200374,-0.426205868,0.669957842,0.835039922
AC183315.4_FG006,140.9931524,0.185531888,0.354617094,0.523189352,0.600842491,0.789838221
AC183319.3_FG001,68.73154417,1.26638107,0.459117827,2.758292086,0.005810425,0.031492577
AC183372.4_FG006,0,NA,NA,NA,NA,NA
AC183412.5_FG005,6.16893147,-0.298905141,0.84741662,-0.352725134,0.724294514,0.869227676
AC183413.3_FG006,4.399913672,-0.194252623,0.93784773,-0.207125973,0.835911479,0.930750301
AC183509.1_FG001,26.56526369,-3.650053673,0.696267977,-5.242311575,1.59E-07,3.60E-06
AC183514.3_FG006,0.106563552,-0.459522474,0.540986325,-0.849416062,0.395649819,NA
AC183817.2_FG002,0,NA,NA,NA,NA,NA
AC183888.4_FG006,0.695100725,-0.338913905,0.720299011,-0.470518354,0.637984724,NA
AC183888.4_FG008,1.143750321,-0.358831192,0.9159072,-0.3917768,0.695223138,NA
AC183914.3_FG004,0,NA,NA,NA,NA,NA
AC183915.4_FG001,0.628546197,0.391109898,0.694662519,0.563021449,0.573420279,NA
AC183927.3_FG004,0.171998815,0.524889361,0.550828746,0.952908439,0.340636464,NA
AC183928.4_FG001,0,NA,NA,NA,NA,NA
AC183932.3_FG007,7.367590174,-1.507212302,0.878493686,-1.715678014,0.086220991,0.235507187
AC183938.4_FG011,0,NA,NA,NA,NA,NA
AC183944.4_FG003,0,NA,NA,NA,NA,NA
AC183950.2_FG002,0,NA,NA,NA,NA,NA
AC183950.2_FG003,0.281821521,-0.664594148,0.592713564,-1.121273729,0.262171364,NA
AC183950.2_FG004,4.233595257,-0.054075203,0.944531813,-0.057250801,0.954345411,0.98420918
AC183950.2_FG005,16.9224519,-1.111174654,0.704008103,-1.578354922,0.114484095,0.285960737
AC183968.2_FG001,0.528574338,-0.003215651,0.60945411,-0.005276282,0.995790156,NA
AC184112.4_FG010,0,NA,NA,NA,NA,NA
AC184116.3_FG001,0.273275442,-0.404415009,0.595859925,-0.678708186,0.497322778,NA
AC184127.3_FG003,57.64092354,-4.665296071,0.631448224,-7.38824799,1.49E-13,8.64E-12
AC184130.4_FG005,0.727792254,-0.029674102,0.799745604,-0.037104427,0.970401743,NA
AC184130.4_FG012,47.55545361,0.293875065,0.53229385,0.552091791,0.580885466,0.776460263
AC184133.3_FG001,40.49462016,2.023993479,0.71232526,2.841389451,0.004491742,0.025796237
AC184164.2_FG004,0.098017472,-0.004881415,0.531784293,-0.009179314,0.99267607,NA
